Category,Subcategory 1,Subcategory 2,Subcategory 3,Value,Year
Total National Health Expenditures,Health Insurance,Medicare,none,184393.0,1995
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,144862.0,1995
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1995
Total National Health Expenditures,Health Insurance,Department of Defense,none,12045.0,1995
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,14840.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,2863.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,53691.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1649.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,21914.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5437.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1914.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,360.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,2552.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2067.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,17507.0,1995
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,1785.0,1995
Total National Health Expenditures,Investment,Research,none,18670.0,1995
Total National Health Expenditures,Investment,Structures & Equipment,none,46897.0,1995
Total National Health Expenditures,Out of pocket,none,none,146076.0,1996
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,333218.0,1996
Total National Health Expenditures,Health Insurance,Medicare,none,198750.0,1996
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,152170.0,1996
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1996
Total National Health Expenditures,Health Insurance,Department of Defense,none,11951.0,1996
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,15567.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,2975.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,58142.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1626.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,22050.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5414.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,1942.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,352.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,2841.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,1783.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,17348.0,1996
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,1890.0,1996
Total National Health Expenditures,Investment,Research,none,17808.0,1996
Total National Health Expenditures,Investment,Structures & Equipment,none,49279.0,1996
Total National Health Expenditures,Out of pocket,none,none,156144.0,1997
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,349270.0,1997
Total National Health Expenditures,Health Insurance,Medicare,none,210376.0,1997
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,160849.0,1997
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1997
Total National Health Expenditures,Health Insurance,Department of Defense,none,12053.0,1997
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,15488.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,3112.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,63159.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1721.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,22141.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5167.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2002.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,367.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,3118.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,1500.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,17957.0,1997
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,2037.0,1997
Total National Health Expenditures,Investment,Research,none,19640.0,1997
Total National Health Expenditures,Investment,Structures & Equipment,none,52014.0,1997
Total National Health Expenditures,Out of pocket,none,none,170998.0,1998
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,371339.0,1998
Total National Health Expenditures,Health Insurance,Medicare,none,209420.0,1998
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,169013.0,1998
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,399.0,1998
Total National Health Expenditures,Health Insurance,Department of Defense,none,12201.0,1998
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,16333.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,3220.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,71241.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1699.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,23063.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,4928.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2073.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,378.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,3395.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2026.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,18520.0,1998
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,2197.0,1998
Total National Health Expenditures,Investment,Research,none,21512.0,1998
Total National Health Expenditures,Investment,Structures & Equipment,none,57032.0,1998
Total National Health Expenditures,Out of pocket,none,none,180883.0,1999
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,401548.0,1999
Total National Health Expenditures,Health Insurance,Medicare,none,213173.0,1999
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,183471.0,1999
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,1723.0,1999
Total National Health Expenditures,Health Insurance,Department of Defense,none,12654.0,1999
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,17509.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,3323.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,73951.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,24183.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,3874.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2226.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,389.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,3855.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,18835.0,1999
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,2330.0,1999
Total National Health Expenditures,Investment,Research,none,23365.0,1999
Total National Health Expenditures,Investment,Structures & Equipment,none,61041.0,1999
Total National Health Expenditures,Out of pocket,none,none,193555.0,2000
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,441009.0,2000
Total National Health Expenditures,Health Insurance,Medicare,none,224829.0,2000
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,200383.0,2000
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,3012.0,2000
Total National Health Expenditures,Health Insurance,Department of Defense,none,13709.0,2000
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,19082.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,3518.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,74079.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1899.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,27268.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,3940.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2339.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,421.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,4462.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2564.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,18744.0,2000
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,2483.0,2000
Total National Health Expenditures,Investment,Research,none,25475.0,2000
Total National Health Expenditures,Investment,Structures & Equipment,none,60178.0,2000
Total National Health Expenditures,Out of pocket,none,none,200879.0,2001
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,483393.0,2001
Total National Health Expenditures,Health Insurance,Medicare,none,247686.0,2001
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,224132.0,2001
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,4169.0,2001
Total National Health Expenditures,Health Insurance,Department of Defense,none,15424.0,2001
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,21083.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,3655.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,73955.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,2104.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,31418.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,4819.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2337.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,449.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,5295.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2812.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,20356.0,2001
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,2689.0,2001
Total National Health Expenditures,Investment,Research,none,28504.0,2001
Total National Health Expenditures,Investment,Structures & Equipment,none,61470.0,2001
Total National Health Expenditures,Out of pocket,none,none,219144.0,2002
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,537528.0,2002
Total National Health Expenditures,Health Insurance,Medicare,none,265381.0,2002
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,248100.0,2002
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,5494.0,2002
Total National Health Expenditures,Health Insurance,Department of Defense,none,18856.0,2002
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,22782.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,3775.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,77743.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,2122.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,35169.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5138.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2335.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,463.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,5676.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3006.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,21767.0,2002
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,2888.0,2002
Total National Health Expenditures,Investment,Research,none,32016.0,2002
Total National Health Expenditures,Investment,Structures & Equipment,none,69437.0,2002
Total National Health Expenditures,Out of pocket,none,none,235149.0,2003
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,589257.0,2003
Total National Health Expenditures,Health Insurance,Medicare,none,282668.0,2003
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,268963.0,2003
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,6296.0,2003
Total National Health Expenditures,Health Insurance,Department of Defense,none,22224.0,2003
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,26517.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,3925.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,86094.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,2291.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,39767.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5591.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2358.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,469.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,6015.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3093.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,23887.0,2003
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,3032.0,2003
Total National Health Expenditures,Investment,Research,none,34844.0,2003
Total National Health Expenditures,Investment,Structures & Equipment,none,73712.0,2003
Total National Health Expenditures,Out of pocket,none,none,248415.0,2004
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,626088.0,2004
Total National Health Expenditures,Health Insurance,Medicare,none,311122.0,2004
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,290743.0,2004
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,7167.0,2004
Total National Health Expenditures,Health Insurance,Department of Defense,none,24898.0,2004
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,27951.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,4102.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,91648.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,2417.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,41092.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,5969.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2385.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,468.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,6272.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3125.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,25763.0,2004
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,3193.0,2004
Total National Health Expenditures,Investment,Research,none,38578.0,2004
Total National Health Expenditures,Investment,Structures & Equipment,none,78351.0,2004
Total National Health Expenditures,Out of pocket,none,none,264486.0,2005
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,671104.0,2005
Total National Health Expenditures,Health Insurance,Medicare,none,339762.0,2005
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,309351.0,2005
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,7566.0,2005
Total National Health Expenditures,Health Insurance,Department of Defense,none,26496.0,2005
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,29802.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,4282.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,96650.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,2441.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,42791.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6303.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2422.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,461.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,6363.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3219.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,26931.0,2005
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,3363.0,2005
Total National Health Expenditures,Investment,Research,none,40319.0,2005
Total National Health Expenditures,Investment,Structures & Equipment,none,85213.0,2005
Total National Health Expenditures,Out of pocket,none,none,277950.0,2006
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,705680.0,2006
Total National Health Expenditures,Health Insurance,Medicare,none,403692.0,2006
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,306680.0,2006
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,8366.0,2006
Total National Health Expenditures,Health Insurance,Department of Defense,none,29765.0,2006
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,31861.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,4389.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,106890.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,2532.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,43029.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6758.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2447.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,498.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,6421.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3153.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,27532.0,2006
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,3569.0,2006
Total National Health Expenditures,Investment,Research,none,41163.0,2006
Total National Health Expenditures,Investment,Structures & Equipment,none,91836.0,2006
Total National Health Expenditures,Out of pocket,none,none,293596.0,2007
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,748565.0,2007
Total National Health Expenditures,Health Insurance,Medicare,none,432749.0,2007
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,325856.0,2007
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,9123.0,2007
Total National Health Expenditures,Health Insurance,Department of Defense,none,32262.0,2007
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,33198.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,4542.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,115870.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,2570.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,42568.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6980.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2586.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,497.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,6721.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3166.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,28598.0,2007
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,3895.0,2007
Total National Health Expenditures,Investment,Research,none,42576.0,2007
Total National Health Expenditures,Investment,Structures & Equipment,none,103637.0,2007
Total National Health Expenditures,Out of pocket,none,none,300063.0,2008
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,769719.0,2008
Total National Health Expenditures,Health Insurance,Medicare,none,466969.0,2008
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,344397.0,2008
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,10211.0,2008
Total National Health Expenditures,Health Insurance,Department of Defense,none,34031.0,2008
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,37686.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,4537.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,108841.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,2727.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,41255.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,7184.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2672.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,489.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,6923.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3206.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,29530.0,2008
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,4089.0,2008
Total National Health Expenditures,Investment,Research,none,44283.0,2008
Total National Health Expenditures,Investment,Structures & Equipment,none,111991.0,2008
Total National Health Expenditures,Out of pocket,none,none,296656.0,2009
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,794764.0,2009
Total National Health Expenditures,Health Insurance,Medicare,none,498627.0,2009
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,374709.0,2009
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11106.0,2009
Total National Health Expenditures,Health Insurance,Department of Defense,none,36670.0,2009
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,42463.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,4564.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,115800.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,3083.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,37274.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,7240.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2562.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,518.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,7299.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3309.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,30507.0,2009
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,4201.0,2009
Total National Health Expenditures,Investment,Research,none,45348.0,2009
Total National Health Expenditures,Investment,Structures & Equipment,none,101853.0,2009
Total National Health Expenditures,Out of pocket,none,none,301469.0,2010
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,820156.0,2010
Total National Health Expenditures,Health Insurance,Medicare,none,519534.0,2010
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,397365.0,2010
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11540.0,2010
Total National Health Expenditures,Health Insurance,Department of Defense,none,38301.0,2010
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,45723.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,4697.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,124342.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,3465.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,37631.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,7063.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2472.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,558.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,7737.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3385.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,32087.0,2010
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,4293.0,2010
Total National Health Expenditures,Investment,Research,none,49125.0,2010
Total National Health Expenditures,Investment,Structures & Equipment,none,103002.0,2010
Total National Health Expenditures,Out of pocket,none,none,310195.0,2011
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,850990.0,2011
Total National Health Expenditures,Health Insurance,Medicare,none,544564.0,2011
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,406747.0,2011
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11988.0,2011
Total National Health Expenditures,Health Insurance,Department of Defense,none,39973.0,2011
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,48170.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,4886.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,123309.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,3522.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,40945.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,6655.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,2262.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,552.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,9559.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,3448.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,31326.0,2011
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,4282.0,2011
Total National Health Expenditures,Investment,Research,none,49575.0,2011
Total National Health Expenditures,Investment,Structures & Equipment,none,109174.0,2011
Total National Health Expenditures,Out of pocket,none,none,323198.0,2012
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,878084.0,2012
Total National Health Expenditures,Health Insurance,Medicare,none,568310.0,2012
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,422737.0,2012
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,12624.0,2012
Total National Health Expenditures,Health Insurance,Department of Defense,none,40003.0,2012
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,49758.0,2012
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,5157.0,2012
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,137367.0,2012
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,3654.0,2012
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,43716.0,2012
